#id,ra,dec
0,0.0,-90.0
1,0.0,-89.20704845814979
2,36.0,-89.20704845814979
3,72.0,-89.20704845814979
4,108.0,-89.20704845814979
5,144.0,-89.20704845814979
6,180.0,-89.20704845814979
7,216.0,-89.20704845814979
8,252.0,-89.20704845814979
9,288.0,-89.20704845814979
10,324.0,-89.20704845814979
11,0.0,-88.41409691629956
12,22.5,-88.41409691629956
13,45.0,-88.41409691629956
14,67.5,-88.41409691629956
15,90.0,-88.41409691629956
16,112.5,-88.41409691629956
17,135.0,-88.41409691629956
18,157.5,-88.41409691629956
19,180.0,-88.41409691629956
20,202.5,-88.41409691629956
21,225.0,-88.41409691629956
22,247.49999999999997,-88.41409691629956
23,270.0,-88.41409691629956
24,292.5,-88.41409691629956
25,315.0,-88.41409691629956
26,337.5,-88.41409691629956
27,0.0,-87.62114537444934
28,16.363636363636363,-87.62114537444934
29,32.72727272727273,-87.62114537444934
30,49.090909090909086,-87.62114537444934
31,65.45454545454545,-87.62114537444934
32,81.81818181818183,-87.62114537444934
33,98.18181818181817,-87.62114537444934
34,114.54545454545455,-87.62114537444934
35,130.9090909090909,-87.62114537444934
36,147.27272727272725,-87.62114537444934
37,163.63636363636365,-87.62114537444934
38,180.0,-87.62114537444934
39,196.36363636363635,-87.62114537444934
40,212.72727272727272,-87.62114537444934
41,229.0909090909091,-87.62114537444934
42,245.45454545454547,-87.62114537444934
43,261.8181818181818,-87.62114537444934
44,278.1818181818182,-87.62114537444934
45,294.5454545454545,-87.62114537444934
46,310.90909090909093,-87.62114537444934
47,327.2727272727273,-87.62114537444934
48,343.6363636363636,-87.62114537444934
49,0.0,-86.82819383259911
50,12.413793103448276,-86.82819383259911
51,24.82758620689655,-86.82819383259911
52,37.24137931034483,-86.82819383259911
53,49.6551724137931,-86.82819383259911
54,62.06896551724138,-86.82819383259911
55,74.48275862068967,-86.82819383259911
56,86.89655172413794,-86.82819383259911
57,99.3103448275862,-86.82819383259911
58,111.72413793103449,-86.82819383259911
59,124.13793103448276,-86.82819383259911
60,136.55172413793105,-86.82819383259911
61,148.96551724137933,-86.82819383259911
