 ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4
 0.6718628498741551, -28.31591440026569,0.6795674362379609,-29.49889517496988,359.32043256376204,-29.49889517496988 ,359.3281371501259 ,-28.31591440026569 
 1.9132421602189826, -28.31591440026569,1.9209467465827883,-29.49889517496988,0.5618118741068711,-29.49889517496988 ,0.5695164604706766 ,-28.31591440026569 
 3.15462147056381, -28.31591440026569,3.1623260569276157,-29.498895174969874,1.8031911844516988,-29.49889517496988 ,1.810895770815505 ,-28.315914400265694 
 4.396000780908639, -28.31591440026569,4.403705367272444,-29.49889517496988,3.044570494796527,-29.498895174969874 ,3.0522750811603325 ,-28.31591440026569 
 5.6373800912534655, -28.31591440026569,5.645084677617271,-29.49889517496988,4.285949805141354,-29.49889517496988 ,4.29365439150516 ,-28.31591440026569 
 6.878759401598294, -28.315914400265694,6.886463987962101,-29.49889517496988,5.527329115486181,-29.49889517496988 ,5.535033701849987 ,-28.315914400265694 
 8.120138711943122, -28.315914400265694,8.127843298306928,-29.49889517496988,6.76870842583101,-29.49889517496988 ,6.776413012194815 ,-28.315914400265694 
 9.36151802228795, -28.31591440026569,9.369222608651754,-29.498895174969874,8.010087736175837,-29.498895174969874 ,8.017792322539643 ,-28.31591440026569 
 10.602897332632775, -28.31591440026569,10.610601918996581,-29.498895174969874,9.251467046520665,-29.49889517496988 ,9.25917163288447 ,-28.315914400265694 
 11.844276642977604, -28.315914400265694,11.85198122934141,-29.49889517496988,10.492846356865492,-29.49889517496988 ,10.500550943229298 ,-28.315914400265694 
 13.085655953322435, -28.315914400265694,13.093360539686238,-29.49889517496988,11.734225667210321,-29.49889517496988 ,11.741930253574127 ,-28.315914400265694 
 14.327035263667257, -28.315914400265694,14.334739850031065,-29.49889517496988,12.975604977555147,-29.49889517496988 ,12.983309563918953 ,-28.31591440026569 
 15.56841457401209, -28.31591440026569,15.576119160375894,-29.49889517496988,14.216984287899978,-29.49889517496988 ,14.224688874263784 ,-28.315914400265694 
 16.80979388435691, -28.31591440026569,16.817498470720718,-29.498895174969874,15.4583635982448,-29.498895174969874 ,15.46606818460861 ,-28.31591440026569 
 18.05117319470174, -28.315914400265694,18.058877781065547,-29.49889517496988,16.69974290858963,-29.498895174969874 ,16.70744749495343 ,-28.31591440026569 
 19.29255250504657, -28.31591440026569,19.30025709141038,-29.49889517496988,17.94112221893446,-29.49889517496988 ,17.94882680529826 ,-28.31591440026569 
 20.533931815391398, -28.315914400265694,20.541636401755206,-29.49889517496988,19.182501529279286,-29.49889517496988 ,19.190206115643086 ,-28.31591440026569 
 21.775311125736227, -28.31591440026569,21.783015712100035,-29.498895174969874,20.423880839624115,-29.49889517496988 ,20.431585425987922 ,-28.315914400265694 
 23.016690436081053, -28.315914400265694,23.024395022444853,-29.49889517496988,21.665260149968937,-29.49889517496988 ,21.672964736332748 ,-28.315914400265694 
 24.25806974642588, -28.31591440026569,24.265774332789682,-29.49889517496988,22.90663946031377,-29.49889517496988 ,22.914344046677577 ,-28.315914400265694 
 25.49944905677071, -28.31591440026569,25.507153643134515,-29.49889517496988,24.1480187706586,-29.49889517496988 ,24.155723357022403 ,-28.31591440026569 
 26.740828367115537, -28.31591440026569,26.748532953479344,-29.498895174969874,25.389398081003424,-29.498895174969874 ,25.39710266736723 ,-28.315914400265694 
 27.982207677460362, -28.31591440026569,27.989912263824166,-29.49889517496988,26.63077739134825,-29.49889517496988 ,26.638481977712058 ,-28.31591440026569 
