[INFO]2023-10-13 22:17:01 | Connecting to the Camera...
[INFO]2023-10-13 22:22:36 | Connecting to the Camera...
[INFO]2023-10-13 22:22:36 | Camera connected
[INFO]2023-10-13 22:23:05 | [BIAS] Exposure finished (exptime = 0.0)
[INFO]2023-10-13 22:24:15 | Connecting to the Camera...
[INFO]2023-10-13 22:24:15 | Camera connected
[INFO]2023-10-13 22:24:17 | [BIAS] Exposure finished (exptime = 0.0)
[INFO]2023-10-13 22:24:17 | Disconnecting to the Camera...
[INFO]2023-10-13 22:24:17 | Camera disconnected
[INFO]2023-10-13 22:29:07 | Connecting to the Camera...
[INFO]2023-10-13 22:29:09 | Camera connected
[INFO]2023-10-13 22:29:11 | [BIAS] Exposure finished (exptime = 0.0)
[INFO]2023-10-13 22:29:11 | Disconnecting to the Camera...
[INFO]2023-10-13 22:29:11 | Camera disconnected
[INFO]2023-10-13 22:32:20 | Connecting to the Camera...
[INFO]2023-10-13 22:32:22 | Camera connected
[INFO]2023-10-13 22:32:24 | [BIAS] Exposure finished (exptime = 0.0)
[INFO]2023-10-13 22:32:26 | [BIAS] Exposure finished (exptime = 0.0)
[INFO]2023-10-13 22:32:28 | [BIAS] Exposure finished (exptime = 0.0)
[INFO]2023-10-13 22:32:29 | [BIAS] Exposure finished (exptime = 0.0)
[INFO]2023-10-13 22:32:31 | [BIAS] Exposure finished (exptime = 0.0)
[INFO]2023-10-13 22:32:42 | Connecting to the Camera...
[INFO]2023-10-13 22:32:42 | Camera connected
[INFO]2023-10-13 22:32:44 | [BIAS] Exposure finished (exptime = 0.0)
[INFO]2023-10-13 22:32:47 | [BIAS] Exposure finished (exptime = 0.0)
[INFO]2023-10-13 22:32:51 | [BIAS] Exposure finished (exptime = 0.0)
[INFO]2023-10-13 22:32:55 | [BIAS] Exposure finished (exptime = 0.0)
[INFO]2023-10-13 22:32:58 | [BIAS] Exposure finished (exptime = 0.0)
[INFO]2023-10-27 12:56:42 | Connecting to the Camera...
[INFO]2023-10-27 12:56:44 | Camera connected
[INFO]2023-10-27 12:57:34 | [LIGHT] Exposure finished (exptime = 0.0)
[INFO]2023-10-27 12:57:59 | [LIGHT] Exposure finished (exptime = 5.0)
