#id,ra,dec
0,0.0,-28.285714285714285
1,2.903225806451613,-28.285714285714285
2,5.806451612903226,-28.285714285714285
3,8.70967741935484,-28.285714285714285
4,11.612903225806452,-28.285714285714285
5,14.516129032258066,-28.285714285714285
6,17.41935483870968,-28.285714285714285
7,20.322580645161292,-28.285714285714285
8,23.225806451612904,-28.285714285714285
9,26.129032258064516,-28.285714285714285
10,29.03225806451613,-28.285714285714285
11,31.935483870967744,-28.285714285714285
12,34.83870967741936,-28.285714285714285
13,37.74193548387097,-28.285714285714285
14,40.645161290322584,-28.285714285714285
15,43.54838709677419,-28.285714285714285
16,46.45161290322581,-28.285714285714285
17,49.354838709677416,-28.285714285714285
18,52.25806451612903,-28.285714285714285
19,55.16129032258064,-28.285714285714285
20,58.06451612903226,-28.285714285714285
21,60.96774193548387,-28.285714285714285
22,63.87096774193549,-28.285714285714285
23,66.7741935483871,-28.285714285714285
24,69.67741935483872,-28.285714285714285
25,72.58064516129032,-28.285714285714285
26,75.48387096774194,-28.285714285714285
27,78.38709677419355,-28.285714285714285
28,81.29032258064517,-28.285714285714285
29,84.19354838709677,-28.285714285714285
30,87.09677419354838,-28.285714285714285
31,90.0,-28.285714285714285
32,92.90322580645162,-28.285714285714285
33,95.80645161290323,-28.285714285714285
34,98.70967741935483,-28.285714285714285
35,101.61290322580645,-28.285714285714285
36,104.51612903225806,-28.285714285714285
37,107.41935483870968,-28.285714285714285
38,110.32258064516128,-28.285714285714285
39,113.2258064516129,-28.285714285714285
40,116.12903225806453,-28.285714285714285
41,119.03225806451613,-28.285714285714285
42,121.93548387096774,-28.285714285714285
43,124.83870967741935,-28.285714285714285
44,127.74193548387098,-28.285714285714285
45,130.64516129032256,-28.285714285714285
46,133.5483870967742,-28.285714285714285
47,136.4516129032258,-28.285714285714285
48,139.35483870967744,-28.285714285714285
49,142.25806451612902,-28.285714285714285
50,145.16129032258064,-28.285714285714285
51,148.06451612903226,-28.285714285714285
52,150.96774193548387,-28.285714285714285
53,153.8709677419355,-28.285714285714285
54,156.7741935483871,-28.285714285714285
55,159.6774193548387,-28.285714285714285
56,162.58064516129033,-28.285714285714285
57,165.48387096774192,-28.285714285714285
58,168.38709677419354,-28.285714285714285
59,171.29032258064515,-28.285714285714285
60,174.19354838709677,-28.285714285714285
61,177.09677419354838,-28.285714285714285
62,180.0,-28.285714285714285
63,182.9032258064516,-28.285714285714285
64,185.80645161290323,-28.285714285714285
65,188.70967741935485,-28.285714285714285
66,191.61290322580646,-28.285714285714285
67,194.51612903225808,-28.285714285714285
68,197.41935483870967,-28.285714285714285
69,200.3225806451613,-28.285714285714285
70,203.2258064516129,-28.285714285714285
71,206.1290322580645,-28.285714285714285
72,209.03225806451613,-28.285714285714285
73,211.93548387096774,-28.285714285714285
74,214.83870967741936,-28.285714285714285
75,217.74193548387098,-28.285714285714285
76,220.64516129032256,-28.285714285714285
