[INFO]2023-02-12 03:52:56 | Connecting to the Camera...
[INFO]2023-02-12 03:52:56 | Camera connected
[INFO]2023-02-12 03:52:56 | Start cooling...
[INFO]2023-02-12 03:52:56 | Current temperature : 10.0
[INFO]2023-02-12 03:52:59 | Current temperature : 5.4
[INFO]2023-02-12 03:53:02 | Current temperature : 2.9
[INFO]2023-02-12 03:53:05 | Current temperature : 1.6
[INFO]2023-02-12 03:53:08 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 03:53:57 | [DARK] Start exposure (exptime = 10.0)
[INFO]2023-02-12 03:54:08 | [DARK] Exposure finished (exptime = 10.0)
[INFO]2023-02-12 04:49:34 | Connecting to the Camera...
[INFO]2023-02-12 04:49:34 | Camera connected
[INFO]2023-02-12 04:49:34 | Start cooling...
[INFO]2023-02-12 04:49:34 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 04:52:22 | Connecting to the Camera...
[INFO]2023-02-12 04:52:22 | Camera connected
[INFO]2023-02-12 04:52:22 | Start cooling...
[INFO]2023-02-12 04:52:22 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 04:52:58 | Connecting to the Camera...
[INFO]2023-02-12 04:52:58 | Camera connected
[INFO]2023-02-12 04:52:58 | Start cooling...
[INFO]2023-02-12 04:52:58 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 04:54:12 | Connecting to the Camera...
[INFO]2023-02-12 04:54:12 | Camera connected
[INFO]2023-02-12 04:54:12 | Start cooling...
[INFO]2023-02-12 04:54:12 | Current temperature : 10.0
[INFO]2023-02-12 04:54:15 | Current temperature : 5.4
[INFO]2023-02-12 04:54:18 | Current temperature : 2.9
[INFO]2023-02-12 04:54:21 | Current temperature : 1.6
[INFO]2023-02-12 04:54:24 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 04:55:01 | [LIGHT] Start exposure (exptime = 5.0)
[INFO]2023-02-12 04:55:06 | [LIGHT] Exposure finished (exptime = 5.0)
[INFO]2023-02-12 04:55:51 | Connecting to the Camera...
[INFO]2023-02-12 04:55:51 | Camera connected
[INFO]2023-02-12 04:55:51 | Start cooling...
[INFO]2023-02-12 04:55:51 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 04:57:34 | Connecting to the Camera...
[INFO]2023-02-12 04:57:34 | Camera connected
[INFO]2023-02-12 04:57:34 | Start cooling...
[INFO]2023-02-12 04:57:34 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 04:57:42 | [LIGHT] Start exposure (exptime = 5.0)
[INFO]2023-02-12 04:57:47 | [LIGHT] Exposure finished (exptime = 5.0)
[INFO]2023-02-12 05:02:51 | [BIAS] Start exposure for bias
[INFO]2023-02-12 05:02:51 | [BIAS] Exposure finished
[INFO]2023-02-12 05:03:50 | [DARK] Start exposure (exptime = 15.0)
[INFO]2023-02-12 05:05:29 | Connecting to the Camera...
[INFO]2023-02-12 05:05:29 | Camera connected
[INFO]2023-02-12 05:05:29 | Start cooling...
[INFO]2023-02-12 05:05:29 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 05:05:50 | [LIGHT] Start exposure (exptime = 100.0)
[INFO]2023-02-12 05:10:36 | Connecting to the Camera...
[INFO]2023-02-12 05:10:36 | Camera connected
[INFO]2023-02-12 05:10:43 | Connecting to the Camera...
[INFO]2023-02-12 05:10:43 | Camera connected
[INFO]2023-02-12 05:10:43 | Start cooling...
[INFO]2023-02-12 05:10:43 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 05:10:51 | [LIGHT] Start exposure (exptime = 10.0)
[INFO]2023-02-12 05:10:51 | [LIGHT] Exposure finished (exptime = 10.0)
[INFO]2023-02-12 05:11:38 | Connecting to the Camera...
[INFO]2023-02-12 05:11:38 | Camera connected
[INFO]2023-02-12 05:11:38 | Start cooling...
[INFO]2023-02-12 05:11:38 | Cooling finished. Set temperature : 0.0
