[INFO]2022-12-28 16:13:24 | Connecting to the Focuser...
[INFO]2022-12-28 16:13:24 | Focuser connected
[INFO]2022-12-28 16:33:56 | Connecting to the Focuser...
[INFO]2022-12-28 16:33:56 | Focuser connected
[INFO]2022-12-28 16:34:46 | Connecting to the Focuser...
[INFO]2022-12-28 16:34:46 | Focuser connected
[INFO]2022-12-28 16:35:14 | Moving focuser position... (Current : 1000 To : 6000)
[INFO]2022-12-28 16:35:21 | Focuser position is set (Current : 6000)
[INFO]2022-12-28 16:46:36 | Moving focuser position... (Current : 6000 To : 5000)
[INFO]2022-12-28 16:46:38 | Focuser position is set (Current : 5000)
[INFO]2022-12-28 16:46:43 | Moving focuser position... (Current : 5000 To : 10000)
[INFO]2022-12-28 16:46:51 | Focuser position is set (Current : 10000)
[WARNING]2022-12-28 16:46:55 | Set position is far from current position. Be careful... (Moving position 8000 > warn tolerance : 5000)
[WARNING]2022-12-28 16:47:14 | Set position is far from current position. Be careful... (Moving position 8000 > warn tolerance : 5000)
[INFO]2022-12-28 16:47:14 | Moving focuser position... (Current : 10000 To : 2000)
[INFO]2022-12-28 16:47:25 | Focuser position is set (Current : 2000)
[WARNING]2022-12-28 16:47:45 | Set position is far from current position. Be careful... (Moving position : 10000 > warn tolerance : 5000)
[INFO]2022-12-28 16:47:45 | Moving focuser position... (Current : 2000 To : 12000)
[INFO]2022-12-28 16:47:58 | Focuser position is set (Current : 12000)
[CRITICAL]2022-12-28 16:48:00 | Set position is too distant from current position. Halt action. (Moving position : 11000 > halt tolerance : 10000)
